Table 1
,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
10,"PACE, Picante Sauce",100 g,25,0g,,0,781.00 mg,0,0,0,0,0,0,0,313.00 IU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25 g,3.1 g,6.25 g,0,0,0,0,0,0,0.00 g,0,0,0,0.00 mg,0,3.85 g,0,0,89.90 g
11,"Goji berries, dried",100 g,349,0.4g,,0,298.00 mg,0,0,0,0,0,0,0,26822.00 IU,0,0,0,0,0,0,0,0,48.4 mg,0,0,0,0,190.00 mg,0,6.80 mg,0,0,0,0,0,0,14.26 g,0.698 g,0.722 g,1.711 g,0.144 g,1.431 g,0.304 g,0.157 g,0,0.261 g,0.456 g,0.233 g,0.087 g,0.271 g,1.000 g,0.498 g,0.358 g,0,0.222 g,0.316 g,77.06 g,13.0 g,45.61 g,0,0,0,0,0,0,0.39 g,0.000 g,0,0,0.00 mg,0,0.78 g,0,0,7.50 g
12,"Mango nectar, canned",100 g,51,0.1g,,0,5.00 mg,1.5 mg,7.00 mcg,0.00 mcg,0.080 mg,0.070 mg,0.003 mg,0.003 mg,692.00 IU,35.00 mcg,0.00 mcg,402.00 mcg,26.00 mcg,0.00 mcg,0,0.00 mcg,0.015 mg,15.2 mg,0.00 IU,0.21 mg,0.21 mg,0.8 mcg,17.00 mg,0.015 mg,0.36 mg,3.00 mg,0.028 mg,2.00 mg,24.00 mg,0.4 mcg,0.02 mg,0.11 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.12 g,0.3 g,12.45 g,5.56 g,0.00 g,5.31 g,0.00 g,0.56 g,1.02 g,0.06 g,0.014 g,0.022 g,0.011 g,0.00 mg,0.0 g,0.08 g,0.00 mg,0.00 mg,86.63 g
13,"Crackers, rusk toast",100 g,407,7.2g,1.4g,78mg,253.00 mg,0,87.00 mcg,23.00 mcg,4.625 mg,0.605 mg,0.399 mg,0.404 mg,41.00 IU,12.00 mcg,0,0,0,0,0,0.18 mcg,0.047 mg,0.0 mg,0,0,0,0,27.00 mg,0.245 mg,2.72 mg,36.00 mg,0.439 mg,153.00 mg,245.00 mg,20.1 mcg,1.10 mg,13.50 g,0.606 g,0.649 g,0.944 g,0.272 g,3.192 g,0.498 g,0.309 g,0,0.610 g,1.010 g,0.684 g,0.290 g,0.668 g,1.052 g,0.768 g,0.512 g,0.171 g,0.471 g,0.684 g,72.30 g,0,0,0,0,0,0,0,0,7.20 g,1.376 g,2.755 g,2.310 g,78.00 mg,0,1.20 g,0,0,5.50 g
14,"Chicken, boiled, feet",100 g,215,15g,3.9g,84mg,67.00 mg,13.3 mg,86.00 mcg,0.00 mcg,0.400 mg,0,0.200 mg,0.060 mg,100.00 IU,30.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.47 mcg,0.010 mg,0.0 mg,8.00 IU,0.27 mg,0.27 mg,0.2 mcg,88.00 mg,0.102 mg,0.91 mg,5.00 mg,0,83.00 mg,31.00 mg,3.6 mcg,0.69 mg,19.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20 g,0.0 g,0.00 g,0,0,0,0,0,0,14.60 g,3.920 g,5.500 g,2.980 g,84.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,65.80 g
15,"Quail, raw, meat only",100 g,134,4.5g,1.3g,70mg,51.00 mg,0,7.00 mcg,0.00 mcg,8.200 mg,0.787 mg,0.285 mg,0.283 mg,57.00 IU,17.00 mcg,0,0,0,0,0,0.47 mcg,0.530 mg,7.2 mg,0,0,0,0,13.00 mg,0.594 mg,4.51 mg,25.00 mg,0.019 mg,307.00 mg,237.00 mg,17.4 mcg,2.70 mg,21.76 g,1.341 g,1.379 g,1.814 g,0.380 g,2.820 g,1.442 g,0.825 g,0,1.187 g,1.866 g,1.905 g,0.689 g,0.944 g,0.797 g,1.062 g,1.090 g,0.341 g,1.010 g,1.180 g,0.00 g,0.0 g,0,0,0,0,0,0,0,4.53 g,1.320 g,1.280 g,1.170 g,70.00 mg,0,1.32 g,0,0,70.03 g
16,"Pie, lemon, fried pies",100 g,316,16g,2.5g,0,374.00 mg,0,18.00 mcg,15.00 mcg,1.425 mg,0.110 mg,0.106 mg,0.141 mg,32.00 IU,2.00 mcg,0,0,0,0,0,0.08 mcg,0.030 mg,0.0 mg,0,0,0,0,22.00 mg,0.047 mg,1.22 mg,10.00 mg,0.224 mg,43.00 mg,65.00 mg,2.4 mcg,0.23 mg,3.00 g,0.093 g,0.112 g,0.156 g,0.059 g,0.906 g,0.098 g,0.062 g,0,0.120 g,0.211 g,0.121 g,0.052 g,0.138 g,0.314 g,0.154 g,0.089 g,0.042 g,0.090 g,0.138 g,42.60 g,2.6 g,0,0,0,0,0,0,0,16.10 g,2.457 g,7.449 g,5.376 g,0.00 mg,0,1.10 g,0,0,37.60 g
17,"Peppers, raw, jalapeno",100 g,29,0.4g,0.1g,0,3.00 mg,7.5 mg,27.00 mcg,0.00 mcg,1.280 mg,0.315 mg,0.070 mg,0.040 mg,1078.00 IU,54.00 mcg,67.00 mcg,561.00 mcg,105.00 mcg,861.00 mcg,0,0.00 mcg,0.419 mg,118.6 mg,0.00 IU,3.58 mg,3.58 mg,18.5 mcg,12.00 mg,0.046 mg,0.25 mg,15.00 mg,0.097 mg,26.00 mg,248.00 mg,0.4 mcg,0.14 mg,0.91 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50 g,2.8 g,4.12 g,2.63 g,0.00 g,1.48 g,0.00 g,0.00 g,0.00 g,0.37 g,0.092 g,0.029 g,0.112 g,0.00 mg,0.0 g,0.53 g,0.00 mg,0.00 mg,91.69 g
18,"Winged bean tuber, raw",100 g,148,0.9g,0.2g,0,35.00 mg,0,19.00 mcg,0.00 mcg,1.640 mg,0.116 mg,0.149 mg,0.379 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.075 mg,0.0 mg,0.00 IU,0,0,0,30.00 mg,1.386 mg,2.00 mg,24.00 mg,0.532 mg,45.00 mg,586.00 mg,0.7 mcg,1.39 mg,11.60 g,0.397 g,0.412 g,1.735 g,0.197 g,0.800 g,0.390 g,0.241 g,0,0.425 g,0.640 g,0.592 g,0.143 g,0.451 g,0.679 g,0.464 g,0.451 g,0.252 g,0.353 g,0.599 g,28.10 g,0,0,0,0,0,0,0,0,0.90 g,0.222 g,0.234 g,0.174 g,0.00 mg,0,2.00 g,0,0,57.40 g
19,"Salami, turkey, cooked",100 g,172,9.2g,2.8g,76mg,1107.00 mg,53.1 mg,10.00 mcg,0.00 mcg,3.979 mg,1.074 mg,0.303 mg,0.426 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.99 mcg,0.427 mg,0.0 mg,24.00 IU,0.24 mg,0.24 mg,1.3 mcg,40.00 mg,0.190 mg,1.25 mg,22.00 mg,0.020 mg,266.00 mg,216.00 mg,26.4 mcg,2.32 mg,19.20 g,0.947 g,1.067 g,1.486 g,0.159 g,2.497 g,0.759 g,0.477 g,0.000 g,0.796 g,1.219 g,1.442 g,0.443 g,0.607 g,0.637 g,0.681 g,0.681 g,0.174 g,0.605 g,0.813 g,1.55 g,0.1 g,1.12 g,0,0,0,0,0,0,9.21 g,2.783 g,3.172 g,2.466 g,76.00 mg,0.0 g,1.68 g,0.00 mg,0.00 mg,68.80 g
20,"Grapes, raw, muscadine",100 g,57,0.5g,,0,1.00 mg,0,2.00 mcg,0,0,0,1.500 mg,0,67.00 IU,3.00 mcg,1.00 mcg,39.00 mcg,1.00 mcg,64.00 mcg,0,0,0,6.5 mg,0,0,0,0,37.00 mg,0.119 mg,0.26 mg,14.00 mg,1.973 mg,24.00 mg,203.00 mg,0,0.11 mg,0.81 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93 g,3.9 g,0,3.92 g,0,3.67 g,0.00 g,0.00 g,0.57 g,0.47 g,0,0,0,0,0,0.50 g,0,0,84.29 g
21,"Nuts, raw, ginkgo nuts",100 g,182,1.7g,0.3g,0,7.00 mg,0,54.00 mcg,0.00 mcg,6.000 mg,0.160 mg,0.090 mg,0.220 mg,558.00 IU,28.00 mcg,0,0,0,0,0,0.00 mcg,0.328 mg,15.0 mg,0.00 IU,0,0,0,2.00 mg,0.274 mg,1.00 mg,27.00 mg,0.113 mg,124.00 mg,510.00 mg,0,0.34 mg,4.32 g,0.247 g,0.420 g,0.543 g,0.023 g,0.836 g,0.232 g,0.102 g,0,0.209 g,0.316 g,0.206 g,0.055 g,0.171 g,0.347 g,0.290 g,0.268 g,0.071 g,0.061 g,0.283 g,37.60 g,0,0,0,0,0,0,0,0,1.68 g,0.319 g,0.619 g,0.618 g,0.00 mg,0,1.20 g,0,0,55.20 g
22,"Spices, ground, savory",100 g,272,5.9g,3.3g,0,24.00 mg,0,0,0,4.080 mg,0,0,0.366 mg,5130.00 IU,257.00 mcg,0,0,0,0,0,0.00 mcg,1.810 mg,50.0 mg,0.00 IU,0,0,0,2132.00 mg,0.847 mg,37.88 mg,377.00 mg,6.100 mg,140.00 mg,1051.00 mg,4.6 mcg,4.30 mg,6.73 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.73 g,45.7 g,0,0,0,0,0,0,0,5.91 g,3.260 g,0,0,0.00 mg,0,9.63 g,0,0,9.00 g
23,"Candies, sesame crunch",100 g,516,33g,4.7g,0,167.00 mg,16.7 mg,51.00 mcg,0.00 mcg,3.703 mg,0.033 mg,0.159 mg,0.444 mg,6.00 IU,0.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.491 mg,0.0 mg,0.00 IU,0.16 mg,0.16 mg,0.0 mcg,639.00 mg,0.950 mg,4.27 mg,251.00 mg,1.609 mg,412.00 mg,307.00 mg,4.0 mcg,3.76 mg,11.60 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.30 g,7.7 g,31.17 g,0,0,0,0,0,0,33.30 g,4.662 g,12.571 g,14.591 g,0.00 mg,0.0 g,2.60 g,0.00 mg,0.00 mg,2.20 g
24,"Cheese, low fat, cream",100 g,201,15g,9.1g,54mg,359.00 mg,12.1 mg,19.00 mcg,0.00 mcg,0.125 mg,0.845 mg,0.185 mg,0.040 mg,552.00 IU,161.00 mcg,0.00 mcg,11.00 mcg,0.00 mcg,0.00 mcg,0,0.92 mcg,0.045 mg,0.0 mg,11.00 IU,0.27 mg,0.27 mg,1.1 mcg,148.00 mg,0.032 mg,0.17 mg,8.00 mg,0.011 mg,152.00 mg,247.00 mg,4.0 mcg,0.57 mg,7.85 g,0.243 g,0.311 g,0.680 g,0.055 g,1.725 g,0.187 g,0.232 g,0.000 g,0.429 g,0.869 g,0.750 g,0.252 g,0.384 g,0.880 g,0.495 g,0.308 g,0.091 g,0.401 g,0.522 g,8.13 g,0.0 g,5.82 g,0.00 g,0.00 g,0.00 g,5.82 g,0.00 g,0.00 g,15.28 g,9.098 g,3.996 g,0.658 g,54.00 mg,0.0 g,2.03 g,0.00 mg,0.00 mg,66.72 g
25,"PACE, Green Taco Sauce",100 g,25,0g,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25 g,0,6.25 g,0,0,0,0,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,3.05 g,0,0,90.70 g
26,"Syrup, Canadian, maple",100 g,270,0g,,0,9.00 mg,0,0,0,0.081 mg,0,1.270 mg,0.066 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0,0.0 mg,0,0,0,0,109.00 mg,0,0.11 mg,21.00 mg,2.300 mg,0,225.00 mg,0,0.70 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.38 g,0.0 g,59.92 g,0.34 g,0.00 g,0.65 g,0.00 g,0.00 g,58.93 g,0.00 g,0,0,0,0.00 mg,0,0.47 g,0.00 mg,0,32.15 g
27,"Ostrich, raw, top loin",100 g,119,3g,1.2g,75mg,81.00 mg,0,8.00 mcg,0.00 mcg,4.691 mg,1.158 mg,0.286 mg,0.195 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,4.94 mcg,0.509 mg,0.0 mg,0,0.20 mg,0.20 mg,0,6.00 mg,0.137 mg,3.13 mg,22.00 mg,0.018 mg,214.00 mg,312.00 mg,35.4 mcg,3.76 mg,21.67 g,1.390 g,1.482 g,2.027 g,0.223 g,3.322 g,1.448 g,0.544 g,0.387 g,1.030 g,1.761 g,1.914 g,0.606 g,0.894 g,1.130 g,0.867 g,0.951 g,0.193 g,0.705 g,1.070 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,2.95 g,1.200 g,1.060 g,0.580 g,75.00 mg,0.0 g,0.73 g,0.00 mg,0.00 mg,75.35 g
28,"Chewing gum, sugarless",100 g,268,0.4g,0.1g,0,7.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,20.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.5 mcg,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.80 g,2.4 g,0.00 g,0,0,0,0,0,0,0.40 g,0.058 g,0.093 g,0.232 g,0.00 mg,0.0 g,1.30 g,0.00 mg,0.00 mg,3.50 g
29,"Nuts, dried, pine nuts",100 g,673,68g,4.9g,0,2.00 mg,55.8 mg,34.00 mcg,0.00 mcg,4.387 mg,0.313 mg,0.227 mg,0.364 mg,29.00 IU,1.00 mcg,0.00 mcg,17.00 mcg,0.00 mcg,9.00 mcg,0,0.00 mcg,0.094 mg,0.8 mg,0.00 IU,9.33 mg,9.33 mg,53.9 mcg,16.00 mg,1.324 mg,5.53 mg,251.00 mg,8.802 mg,575.00 mg,597.00 mg,0.7 mcg,6.45 mg,13.69 g,0.684 g,2.413 g,1.303 g,0.289 g,2.926 g,0.691 g,0.341 g,0,0.542 g,0.991 g,0.540 g,0.259 g,0.524 g,0.673 g,0.835 g,0.370 g,0.107 g,0.509 g,0.687 g,13.08 g,3.7 g,3.59 g,0.07 g,0.00 g,0.07 g,0.00 g,0.00 g,3.45 g,68.37 g,4.899 g,18.764 g,34.071 g,0.00 mg,0.0 g,2.59 g,0.00 mg,0.00 mg,2.28 g
30,"Pasta, unenriched, dry",100 g,371,1.5g,0.3g,0,6.00 mg,0,18.00 mcg,0.00 mcg,1.700 mg,0.431 mg,0.060 mg,0.090 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.142 mg,0.0 mg,0.00 IU,0.11 mg,0.11 mg,0.1 mcg,21.00 mg,0.289 mg,1.30 mg,53.00 mg,0.917 mg,189.00 mg,223.00 mg,63.2 mcg,1.41 mg,13.04 g,0.438 g,0.474 g,0.624 g,0.255 g,4.596 g,0.441 g,0.298 g,0.000 g,0.511 g,0.988 g,0.298 g,0.147 g,0.668 g,1.569 g,0.617 g,0.462 g,0.185 g,0.243 g,0.588 g,74.67 g,3.2 g,2.67 g,0.11 g,0.00 g,0.12 g,0.00 g,1.96 g,0.48 g,1.51 g,0.277 g,0.171 g,0.564 g,0.00 mg,0.0 g,0.88 g,0,0,9.90 g
31,"McDONALD'S, Side Salad",100 g,20,0.2g,,0,12.00 mg,0,57.00 mcg,0,0.208 mg,0,0.038 mg,0.045 mg,2850.00 IU,0,0,0,0,0,0,0.00 mcg,0,15.7 mg,0,0,0,0,24.00 mg,0,0.65 mg,0,0,0,220.00 mg,0,0,1.03 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30 g,1.6 g,2.24 g,1.15 g,0.00 g,0.92 g,0.00 g,0.00 g,0.17 g,0.19 g,0.020 g,0.006 g,0.079 g,0.00 mg,0,0.54 g,0,0,93.93 g
32,"Cookies, Marie biscuit",100 g,406,11g,5.3g,0,370.00 mg,27.0 mg,118.00 mcg,98.00 mcg,3.861 mg,0,0.493 mg,0.541 mg,3.00 IU,1.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,12.00 mcg,0,0.19 mcg,0.074 mg,0.0 mg,0.00 IU,0.45 mg,0.45 mg,3.8 mcg,0.00 mg,0.101 mg,0.00 mg,28.00 mg,0,193.00 mg,307.00 mg,23.9 mcg,0.61 mg,7.05 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.54 g,3.5 g,21.16 g,0,0,0,0,0,0,10.58 g,5.291 g,2.694 g,1.670 g,0.00 mg,0.0 g,2.03 g,0.00 mg,0.00 mg,9.79 g
